date,open,high,low,close
2020-01-02,3.9191,3.9191,3.9191,3.9191
2020-01-03,3.9254,3.9254,3.9254,3.9254
2020-01-07,3.8992,3.8992,3.8992,3.8992
2020-01-08,3.9245,3.9245,3.9245,3.9245
2020-01-09,3.9265,3.9265,3.9265,3.9265
2020-01-10,3.9265,3.9265,3.9265,3.9265
2020-01-13,3.917,3.917,3.917,3.917
2020-01-14,3.9208,3.9208,3.9208,3.9208
2020-01-15,3.9317,3.9317,3.9317,3.9317
2020-01-16,3.9421,3.9421,3.9421,3.9421
2020-01-17,3.941,3.941,3.941,3.941
2020-01-20,3.9539,3.9539,3.9539,3.9539
2020-01-21,3.9532,3.9532,3.9532,3.9532
2020-01-22,3.9328,3.9328,3.9328,3.9328
2020-01-23,3.9535,3.9535,3.9535,3.9535
2020-01-24,3.9629,3.9629,3.9629,3.9629
2020-01-27,3.9915,3.9915,3.9915,3.9915
2020-01-28,4.0094,4.0094,4.0094,4.0094
2020-01-29,3.9873,3.9873,3.9873,3.9873
2020-01-30,4.0027,4.0027,4.0027,4.0027
2020-01-31,4.0194,4.0194,4.0194,4.0194
2020-02-03,4.0311,4.0311,4.0311,4.0311
2020-02-04,4.0031,4.0031,4.0031,4.0031
2020-02-05,3.9744,3.9744,3.9744,3.9744
2020-02-06,3.968,3.968,3.968,3.968
2020-02-07,3.9908,3.9908,3.9908,3.9908
2020-02-10,3.9889,3.9889,3.9889,3.9889
2020-02-11,3.9947,3.9947,3.9947,3.9947
2020-02-12,4.002,4.002,4.002,4.002
2020-02-13,4.005,4.005,4.005,4.005
2020-02-14,3.9853,3.9853,3.9853,3.9853
2020-02-17,3.9921,3.9921,3.9921,3.9921
2020-02-18,4.0218,4.0218,4.0218,4.0218
2020-02-19,4.0213,4.0213,4.0213,4.0213
2020-02-20,4.0308,4.0308,4.0308,4.0308
2020-02-21,4.0367,4.0367,4.0367,4.0367
2020-02-24,4.0542,4.0542,4.0542,4.0542
2020-02-25,4.0537,4.0537,4.0537,4.0537
2020-02-26,4.0617,4.0617,4.0617,4.0617
2020-02-27,4.0548,4.0548,4.0548,4.0548
2020-02-28,4.0734,4.0734,4.0734,4.0734
2020-03-02,4.0566,4.0566,4.0566,4.0566
2020-03-03,4.0532,4.0532,4.0532,4.0532
2020-03-04,4.0382,4.0382,4.0382,4.0382
2020-03-05,4.0391,4.0391,4.0391,4.0391
2020-03-06,4.0721,4.0721,4.0721,4.0721
2020-03-09,4.0799,4.0799,4.0799,4.0799
2020-03-10,4.0787,4.0787,4.0787,4.0787
2020-03-11,4.0737,4.0737,4.0737,4.0737
2020-03-12,4.119,4.119,4.119,4.119
2020-03-13,4.1307,4.1307,4.1307,4.1307
2020-03-16,4.1624,4.1624,4.1624,4.1624
2020-03-17,4.2467,4.2467,4.2467,4.2467
2020-03-18,4.2474,4.2474,4.2474,4.2474
2020-03-19,4.3536,4.3536,4.3536,4.3536
2020-03-20,4.3124,4.3124,4.3124,4.3124
2020-03-23,4.3214,4.3214,4.3214,4.3214
2020-03-24,4.3563,4.3563,4.3563,4.3563
2020-03-25,4.3137,4.3137,4.3137,4.3137
2020-03-26,4.3197,4.3197,4.3197,4.3197
2020-03-27,4.2675,4.2675,4.2675,4.2675
2020-03-30,4.284,4.284,4.284,4.284
2020-03-31,4.3001,4.3001,4.3001,4.3001
2020-04-01,4.3236,4.3236,4.3236,4.3236
2020-04-02,4.3319,4.3319,4.3319,4.3319
2020-04-03,4.3403,4.3403,4.3403,4.3403
2020-04-06,4.3199,4.3199,4.3199,4.3199
2020-04-07,4.2883,4.2883,4.2883,4.2883
2020-04-08,4.2987,4.2987,4.2987,4.2987
2020-04-09,4.2986,4.2986,4.2986,4.2986
2020-04-10,4.3058,4.3058,4.3058,4.3058
2020-04-14,4.317,4.317,4.317,4.317
2020-04-15,4.3066,4.3066,4.3066,4.3066
2020-04-16,4.3088,4.3088,4.3088,4.3088
2020-04-17,4.3143,4.3143,4.3143,4.3143
2020-04-20,4.2952,4.2952,4.2952,4.2952
2020-04-21,4.3065,4.3065,4.3065,4.3065
2020-04-22,4.307,4.307,4.307,4.307
2020-04-23,4.3229,4.3229,4.3229,4.3229
2020-04-24,4.3116,4.3116,4.3116,4.3116
2020-04-27,4.2892,4.2892,4.2892,4.2892
2020-04-28,4.2843,4.2843,4.2843,4.2843
2020-04-29,4.3013,4.3013,4.3013,4.3013
2020-04-30,4.2989,4.2989,4.2989,4.2989
2020-05-04,4.3216,4.3216,4.3216,4.3216
2020-05-05,4.3206,4.3206,4.3206,4.3206
2020-05-06,4.3112,4.3112,4.3112,4.3112
2020-05-07,4.3204,4.3204,4.3204,4.3204
2020-05-08,4.3293,4.3293,4.3293,4.3293
2020-05-11,4.3301,4.3301,4.3301,4.3301
2020-05-12,4.3316,4.3316,4.3316,4.3316
2020-05-13,4.3402,4.3402,4.3402,4.3402
2020-05-14,4.3445,4.3445,4.3445,4.3445
2020-05-15,4.3294,4.3294,4.3294,4.3294
2020-05-18,4.3419,4.3419,4.3419,4.3419
2020-05-19,4.2871,4.2871,4.2871,4.2871
2020-05-20,4.3013,4.3013,4.3013,4.3013
2020-05-21,4.2787,4.2787,4.2787,4.2787
2020-05-22,4.2688,4.2688,4.2688,4.2688
2020-05-25,4.26,4.26,4.26,4.26
2020-05-26,4.2226,4.2226,4.2226,4.2226
2020-05-27,4.1707,4.1707,4.1707,4.1707
2020-05-28,4.1494,4.1494,4.1494,4.1494
2020-05-29,4.1621,4.1621,4.1621,4.1621
2020-06-01,4.1401,4.1401,4.1401,4.1401
2020-06-02,4.1024,4.1024,4.1024,4.1024
2020-06-03,4.0635,4.0635,4.0635,4.0635
2020-06-04,4.119,4.119,4.119,4.119
2020-06-05,4.0948,4.0948,4.0948,4.0948
2020-06-08,4.0729,4.0729,4.0729,4.0729
2020-06-09,4.1303,4.1303,4.1303,4.1303
2020-06-10,4.1419,4.1419,4.1419,4.1419
2020-06-12,4.1538,4.1538,4.1538,4.1538
2020-06-15,4.1454,4.1454,4.1454,4.1454
2020-06-16,4.1187,4.1187,4.1187,4.1187
2020-06-17,4.1586,4.1586,4.1586,4.1586
2020-06-18,4.1685,4.1685,4.1685,4.1685
2020-06-19,4.1811,4.1811,4.1811,4.1811
2020-06-22,4.1769,4.1769,4.1769,4.1769
2020-06-23,4.1616,4.1616,4.1616,4.1616
2020-06-24,4.1702,4.1702,4.1702,4.1702
2020-06-25,4.1754,4.1754,4.1754,4.1754
2020-06-26,4.1919,4.1919,4.1919,4.1919
2020-06-29,4.1893,4.1893,4.1893,4.1893
2020-06-30,4.1818,4.1818,4.1818,4.1818
2020-07-01,4.1804,4.1804,4.1804,4.1804
2020-07-02,4.192,4.192,4.192,4.192
2020-07-03,4.2018,4.2018,4.2018,4.2018
2020-07-06,4.202,4.202,4.202,4.202
2020-07-07,4.2027,4.2027,4.2027,4.2027
2020-07-08,4.2121,4.2121,4.2121,4.2121
2020-07-09,4.2081,4.2081,4.2081,4.2081
2020-07-10,4.2099,4.2099,4.2099,4.2099
2020-07-13,4.2006,4.2006,4.2006,4.2006
2020-07-14,4.2117,4.2117,4.2117,4.2117
2020-07-15,4.1677,4.1677,4.1677,4.1677
2020-07-16,4.1719,4.1719,4.1719,4.1719
2020-07-17,4.1647,4.1647,4.1647,4.1647
2020-07-20,4.1513,4.1513,4.1513,4.1513
2020-07-21,4.1355,4.1355,4.1355,4.1355
2020-07-22,4.1248,4.1248,4.1248,4.1248
2020-07-23,4.1014,4.1014,4.1014,4.1014
2020-07-24,4.1089,4.1089,4.1089,4.1089
2020-07-27,4.0893,4.0893,4.0893,4.0893
2020-07-28,4.0787,4.0787,4.0787,4.0787
2020-07-29,4.1078,4.1078,4.1078,4.1078
2020-07-30,4.1058,4.1058,4.1058,4.1058
2020-07-31,4.0946,4.0946,4.0946,4.0946
2020-08-03,4.0887,4.0887,4.0887,4.0887
2020-08-04,4.0806,4.0806,4.0806,4.0806
2020-08-05,4.081,4.081,4.081,4.081
2020-08-06,4.0996,4.0996,4.0996,4.0996
2020-08-07,4.0856,4.0856,4.0856,4.0856
2020-08-10,4.0843,4.0843,4.0843,4.0843
2020-08-11,4.0896,4.0896,4.0896,4.0896
2020-08-12,4.1005,4.1005,4.1005,4.1005
2020-08-13,4.0887,4.0887,4.0887,4.0887
2020-08-14,4.0906,4.0906,4.0906,4.0906
2020-08-17,4.0828,4.0828,4.0828,4.0828
2020-08-18,4.0773,4.0773,4.0773,4.0773
2020-08-19,4.0707,4.0707,4.0707,4.0707
2020-08-20,4.0734,4.0734,4.0734,4.0734
2020-08-21,4.0814,4.0814,4.0814,4.0814
2020-08-24,4.0959,4.0959,4.0959,4.0959
2020-08-25,4.0842,4.0842,4.0842,4.0842
2020-08-26,4.0947,4.0947,4.0947,4.0947
2020-08-27,4.1078,4.1078,4.1078,4.1078
2020-08-28,4.0945,4.0945,4.0945,4.0945
2020-08-31,4.0884,4.0884,4.0884,4.0884
2020-09-01,4.0659,4.0659,4.0659,4.0659
2020-09-02,4.0742,4.0742,4.0742,4.0742
2020-09-03,4.0975,4.0975,4.0975,4.0975
2020-09-04,4.1259,4.1259,4.1259,4.1259
2020-09-07,4.1253,4.1253,4.1253,4.1253
2020-09-08,4.1027,4.1027,4.1027,4.1027
2020-09-09,4.1256,4.1256,4.1256,4.1256
2020-09-10,4.1389,4.1389,4.1389,4.1389
2020-09-11,4.1309,4.1309,4.1309,4.1309
2020-09-14,4.1334,4.1334,4.1334,4.1334
2020-09-15,4.1321,4.1321,4.1321,4.1321
2020-09-16,4.1373,4.1373,4.1373,4.1373
2020-09-17,4.141,4.141,4.141,4.141
2020-09-18,4.1378,4.1378,4.1378,4.1378
2020-09-21,4.156,4.156,4.156,4.156
2020-09-22,4.1902,4.1902,4.1902,4.1902
2020-09-23,4.174,4.174,4.174,4.174
2020-09-24,4.1998,4.1998,4.1998,4.1998
2020-09-25,4.2095,4.2095,4.2095,4.2095
2020-09-28,4.216,4.216,4.216,4.216
2020-09-29,4.25,4.25,4.25,4.25
2020-09-30,4.1878,4.1878,4.1878,4.1878
2020-10-01,4.1884,4.1884,4.1884,4.1884
2020-10-02,4.1648,4.1648,4.1648,4.1648
2020-10-05,4.1737,4.1737,4.1737,4.1737
2020-10-06,4.1729,4.1729,4.1729,4.1729
2020-10-07,4.1555,4.1555,4.1555,4.1555
2020-10-08,4.1603,4.1603,4.1603,4.1603
2020-10-09,4.1536,4.1536,4.1536,4.1536
2020-10-12,4.164,4.164,4.164,4.164
2020-10-13,4.1664,4.1664,4.1664,4.1664
2020-10-14,4.1883,4.1883,4.1883,4.1883
2020-10-15,4.25,4.25,4.25,4.25
2020-10-16,4.2571,4.2571,4.2571,4.2571
2020-10-19,4.2448,4.2448,4.2448,4.2448
2020-10-20,4.281,4.281,4.281,4.281
2020-10-21,4.2802,4.2802,4.2802,4.2802
2020-10-22,4.2714,4.2714,4.2714,4.2714
2020-10-23,4.2732,4.2732,4.2732,4.2732
2020-10-26,4.2734,4.2734,4.2734,4.2734
2020-10-27,4.2742,4.2742,4.2742,4.2742
2020-10-28,4.3113,4.3113,4.3113,4.3113
2020-10-29,4.3329,4.3329,4.3329,4.3329
2020-10-30,4.3197,4.3197,4.3197,4.3197
2020-11-02,4.3124,4.3124,4.3124,4.3124
2020-11-03,4.2675,4.2675,4.2675,4.2675
2020-11-04,4.2595,4.2595,4.2595,4.2595
2020-11-05,4.2248,4.2248,4.2248,4.2248
2020-11-06,4.2368,4.2368,4.2368,4.2368
2020-11-09,4.1976,4.1976,4.1976,4.1976
2020-11-10,4.1669,4.1669,4.1669,4.1669
2020-11-12,4.1573,4.1573,4.1573,4.1573
2020-11-13,4.1605,4.1605,4.1605,4.1605
2020-11-16,4.1463,4.1463,4.1463,4.1463
2020-11-17,4.1594,4.1594,4.1594,4.1594
2020-11-18,4.1356,4.1356,4.1356,4.1356
2020-11-19,4.1448,4.1448,4.1448,4.1448
2020-11-20,4.1356,4.1356,4.1356,4.1356
2020-11-23,4.1307,4.1307,4.1307,4.1307
2020-11-24,4.1297,4.1297,4.1297,4.1297
2020-11-25,4.1171,4.1171,4.1171,4.1171
2020-11-26,4.1353,4.1353,4.1353,4.1353
2020-11-27,4.1477,4.1477,4.1477,4.1477
2020-11-30,4.1364,4.1364,4.1364,4.1364
2020-12-01,4.1226,4.1226,4.1226,4.1226
2020-12-02,4.1112,4.1112,4.1112,4.1112
2020-12-03,4.1362,4.1362,4.1362,4.1362
2020-12-04,4.1241,4.1241,4.1241,4.1241
2020-12-07,4.1417,4.1417,4.1417,4.1417
2020-12-08,4.1503,4.1503,4.1503,4.1503
2020-12-09,4.1273,4.1273,4.1273,4.1273
2020-12-10,4.1139,4.1139,4.1139,4.1139
2020-12-11,4.1286,4.1286,4.1286,4.1286
2020-12-14,4.1273,4.1273,4.1273,4.1273
2020-12-15,4.1254,4.1254,4.1254,4.1254
2020-12-16,4.1144,4.1144,4.1144,4.1144
2020-12-17,4.1084,4.1084,4.1084,4.1084
2020-12-18,4.1043,4.1043,4.1043,4.1043
2020-12-21,4.1729,4.1729,4.1729,4.1729
2020-12-22,4.1625,4.1625,4.1625,4.1625
2020-12-23,4.1517,4.1517,4.1517,4.1517
2020-12-24,4.1604,4.1604,4.1604,4.1604
2020-12-28,4.1223,4.1223,4.1223,4.1223
2020-12-29,4.1531,4.1531,4.1531,4.1531
2020-12-30,4.1708,4.1708,4.1708,4.1708
2020-12-31,4.2641,4.2641,4.2641,4.2641
